Movie,Distance,Box_Office
Mission: Impossible III ,"3,212","3,978"
Mission: Impossible - Ghost Protocol ,"3,066","6,947"
War of the Worlds ,"1,752","5,917"
Minority Report ,"1,562","3,584"
The Firm ,"1,241","2,702"
Edge of Tomorrow ,"1,065","3,705"
Jack Reacher: Never Go Back ,"1,051","1,621"
The Mummy ,"1,022","4,100"
Mission Impossible - Rogue Nation,"1,007","6,827"
Vanilla Sky ,832,"2,034"
Mission Impossible,730,"4,577"
Collateral,730,"2,178"
Mission: Impossible II,511,"5,464"
Oblivion,788,"2,862"
Risky Business,438,635
Far and Away,496,"1,378"
